regimen_id,ekfc_class,mic_mg_l,published_caz_pta_pct,published_avi_attainment_pct,source,origin_class,transformation,review_state
R9,61–90,2,95.5,76.3,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R9,61–90,4,78,76.3,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R9,61–90,8,37.7,76.3,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R10,61–90,0.0625,100,90.1,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R10,61–90,0.125,100,90.1,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R10,61–90,0.25,100,90.1,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R10,61–90,0.5,100,90.1,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R10,61–90,1,100,90.1,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R10,61–90,2,99.6,90.1,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R10,61–90,4,91.2,90.1,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R10,61–90,8,62.5,90.1,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R11,91–120,0.0625,100,82,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R11,91–120,0.125,100,82,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R11,91–120,0.25,100,82,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R11,91–120,0.5,100,82,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R11,91–120,1,100,82,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
