distribution_id,population,role,mic_mg_l,count,n,frequency,mapping_rule,transformation,origin_class,review_state,qc,source,source_url
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,16,0,236,0,Exact,NONE,REPORTED_DIRECT,SYSTEM_NORMALIZED,PASS,"Lee et al. 2022, IJAA 60:106679, Table 3",https://doi.org/10.1016/j.ijantimicag.2022.106679
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,32,1,236,0.00423728813559322,Exact,NONE,REPORTED_DIRECT,SYSTEM_NORMALIZED,PASS,"Lee et al. 2022, IJAA 60:106679, Table 3",https://doi.org/10.1016/j.ijantimicag.2022.106679
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,64,2,236,0.00847457627118644,Terminal ≥64 or >32 conservatively assigned to 64,CATEGORICAL_HARMONIZATION,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Lee et al. 2022, IJAA 60:106679, Table 3",https://doi.org/10.1016/j.ijantimicag.2022.106679
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,0.0625,0,136,0,0.03 and/or 0.06 pooled to 0.0625,CATEGORICAL_HARMONIZATION,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Bakthavatchalam et al. 2022, DMID 103:115652, Table 2",https://doi.org/10.1016/j.diagmicrobio.2022.115652
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,0.125,0,136,0,0.12 mapped to 0.125,CATEGORICAL_HARMONIZATION,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Bakthavatchalam et al. 2022, DMID 103:115652, Table 2",https://doi.org/10.1016/j.diagmicrobio.2022.115652
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,0.25,2,136,0.014705882352941176,Exact,NONE,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Bakthavatchalam et al. 2022, DMID 103:115652, Table 2",https://doi.org/10.1016/j.diagmicrobio.2022.115652
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,0.5,42,136,0.3088235294117647,Exact,NONE,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Bakthavatchalam et al. 2022, DMID 103:115652, Table 2",https://doi.org/10.1016/j.diagmicrobio.2022.115652
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,1,69,136,0.5073529411764706,Exact,NONE,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Bakthavatchalam et al. 2022, DMID 103:115652, Table 2",https://doi.org/10.1016/j.diagmicrobio.2022.115652
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,2,15,136,0.11029411764705882,Exact,NONE,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Bakthavatchalam et al. 2022, DMID 103:115652, Table 2",https://doi.org/10.1016/j.diagmicrobio.2022.115652
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,4,3,136,0.022058823529411766,Exact,NONE,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Bakthavatchalam et al. 2022, DMID 103:115652, Table 2",https://doi.org/10.1016/j.diagmicrobio.2022.115652
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,8,0,136,0,Exact,NONE,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Bakthavatchalam et al. 2022, DMID 103:115652, Table 2",https://doi.org/10.1016/j.diagmicrobio.2022.115652
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,16,0,136,0,Exact,NONE,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Bakthavatchalam et al. 2022, DMID 103:115652, Table 2",https://doi.org/10.1016/j.diagmicrobio.2022.115652
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,32,2,136,0.014705882352941176,Exact,NONE,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Bakthavatchalam et al. 2022, DMID 103:115652, Table 2",https://doi.org/10.1016/j.diagmicrobio.2022.115652
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,64,3,136,0.022058823529411766,Terminal ≥64 or >32 conservatively assigned to 64,CATEGORICAL_HARMONIZATION,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Bakthavatchalam et al. 2022, DMID 103:115652, Table 2",https://doi.org/10.1016/j.diagmicrobio.2022.115652
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,0.25,27,60,0.45,≤0.25 assigned to upper bound 0.25,CATEGORICAL_HARMONIZATION,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Emeraud et al. 2024, EID 30(10):2178–2182, Appendix 1 Table 4",https://doi.org/10.3201/eid3010.240745
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,0.5,8,60,0.13333333333333333,Exact,NONE,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Emeraud et al. 2024, EID 30(10):2178–2182, Appendix 1 Table 4",https://doi.org/10.3201/eid3010.240745
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,1,15,60,0.25,Exact,NONE,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Emeraud et al. 2024, EID 30(10):2178–2182, Appendix 1 Table 4",https://doi.org/10.3201/eid3010.240745
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,2,9,60,0.15,Exact,NONE,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Emeraud et al. 2024, EID 30(10):2178–2182, Appendix 1 Table 4",https://doi.org/10.3201/eid3010.240745
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,4,1,60,0.016666666666666666,Exact,NONE,REPORTED_DIRECT,USER_REVIEW_REQUIRED,PASS,"Emeraud et al. 2024, EID 30(10):2178–2182, Appendix 1 Table 4",https://doi.org/10.3201/eid3010.240745
