Draw,Regimen,EKFC,Distribution ID,Distribution,CAZ CFR,AVI weighted,Joint CFR,Toxicity,CAZ CL mult,AVI CL mult,CAZ omega mult,AVI omega mult,rho,fu CAZ,fu AVI,Tox threshold
1,R1,0–30,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",90.5467018469657,67.42000000000002,64.46865435356202,8.95,1.1280689558931107,1.1471549698778507,1.1424664826904958,1.03944543402298,0.5123945098392116,0.8028998286237741,0.884633730891782,104.10893831028383
1,R1,0–30,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",93.0093220338983,67.42000000000002,65.27733050847458,8.95,1.1280689558931107,1.1471549698778507,1.1424664826904958,1.03944543402298,0.5123945098392116,0.8028998286237741,0.884633730891782,104.10893831028383
1,R1,0–30,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",92.54514705882352,67.41999999999999,64.25625,8.95,1.1280689558931107,1.1471549698778507,1.1424664826904958,1.03944543402298,0.5123945098392116,0.8028998286237741,0.884633730891782,104.10893831028383
1,R1,0–30,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",96.51783333333333,67.42,66.64433333333334,8.95,1.1280689558931107,1.1471549698778507,1.1424664826904958,1.03944543402298,0.5123945098392116,0.8028998286237741,0.884633730891782,104.10893831028383
1,R8,31–60,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",96.88844327176781,83.16,81.29245382585752,9.39,1.1280689558931107,1.1471549698778507,1.1424664826904958,1.03944543402298,0.5123945098392116,0.8028998286237741,0.884633730891782,104.10893831028383
1,R8,31–60,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",97.51262711864406,83.16000000000001,81.4849152542373,9.39,1.1280689558931107,1.1471549698778507,1.1424664826904958,1.03944543402298,0.5123945098392116,0.8028998286237741,0.884633730891782,104.10893831028383
1,R8,31–60,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",95.65507352941175,83.15999999999998,79.80176470588235,9.39,1.1280689558931107,1.1471549698778507,1.1424664826904958,1.03944543402298,0.5123945098392116,0.8028998286237741,0.884633730891782,104.10893831028383
1,R8,31–60,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.319,83.16,82.8395,9.39,1.1280689558931107,1.1471549698778507,1.1424664826904958,1.03944543402298,0.5123945098392116,0.8028998286237741,0.884633730891782,104.10893831028383
1,R10,61–90,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",97.18245382585751,81.25999999999999,79.74580474934038,10.32,1.1280689558931107,1.1471549698778507,1.1424664826904958,1.03944543402298,0.5123945098392116,0.8028998286237741,0.884633730891782,104.10893831028383
1,R10,61–90,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",97.64868644067796,81.26000000000002,79.77614406779661,10.32,1.1280689558931107,1.1471549698778507,1.1424664826904958,1.03944543402298,0.5123945098392116,0.8028998286237741,0.884633730891782,104.10893831028383
1,R10,61–90,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",95.74088235294117,81.26,78.08264705882351,10.32,1.1280689558931107,1.1471549698778507,1.1424664826904958,1.03944543402298,0.5123945098392116,0.8028998286237741,0.884633730891782,104.10893831028383
1,R10,61–90,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.40683333333334,81.25999999999999,81.04083333333334,10.32,1.1280689558931107,1.1471549698778507,1.1424664826904958,1.03944543402298,0.5123945098392116,0.8028998286237741,0.884633730891782,104.10893831028383
1,R12,91–120,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",97.40712401055409,81.54999999999998,80.1601055408971,11.360000000000001,1.1280689558931107,1.1471549698778507,1.1424664826904958,1.03944543402298,0.5123945098392116,0.8028998286237741,0.884633730891782,104.10893831028383
