Rank,Parameter,Mean |rank correlation|,Maximum |rank correlation|
1,cl_avi_mult,0.8142311803464484,0.9371579684218714
2,omega_avi_mult,0.4986234513716819,0.6071276347514972
3,fu_avi,0.24915390171001897,0.28424804720052443
4,omega_caz_mult,0.09482923143590484,0.11867331859242881
5,rho,0.09215333503705594,0.1507256747297192
6,cl_caz_mult,0.04563008477871976,0.1159986222069134
7,tox_threshold,0.04030298114423493,0.04286136512627918
8,fu_caz,0.017784819831331455,0.06298381093123256
