Policy,Policy description,Regimen,EKFC,Dose g,Interval h,Distribution ID,Distribution,CAZ mean,CAZ SD,CAZ P2.5,CAZ median,CAZ P97.5,CAZ min,CAZ max,AVI mean,AVI SD,AVI P2.5,AVI median,AVI P97.5,AVI min,AVI max,Joint mean,Joint SD,Joint P2.5,Joint median,Joint P97.5,Joint min,Joint max,Tox mean,Tox SD,Tox P2.5,Tox median,Tox P97.5,Tox min,Tox max
POLICY_BASE,CAZ target 4; AVI CT 4,R1,0–30,0.625,12,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",93.6885526824978,1.4842460054063569,91.04388918205805,93.78744063324538,96.27428430079155,89.6822691292876,96.8864907651715,74.5816,4.594057901245914,66.69325,74.38500000000002,82.90250000000002,65.13,86.10000000000001,72.58801987686896,4.300344360023512,65.27938918205804,72.34998680738786,80.62110092348286,63.74010554089711,83.01910290237467,10.0957,2.496215565711758,6.1145000000000005,9.975,15.566749999999997,5.390000000000001,19.189999999999998
POLICY_BASE,CAZ target 4; AVI CT 4,R1,0–30,0.625,12,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",95.49701765536723,1.0845897894486918,93.36837182203391,95.62536016949153,97.279593220339,92.23470338983051,97.656906779661,74.5816,4.594057901245913,66.69325,74.38500000000002,82.9025,65.13,86.10000000000001,73.00129463276836,4.406534119166955,65.42443220338983,72.80419491525424,81.182094279661,63.87483050847459,83.88258474576273,10.0957,2.496215565711758,6.1145000000000005,9.975,15.566749999999997,5.390000000000001,19.189999999999998
POLICY_BASE,CAZ target 4; AVI CT 4,R1,0–30,0.625,12,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",94.36869803921569,0.7756357886176222,92.80026838235294,94.4589338235294,95.60031250000002,91.94323529411764,95.84522058823529,74.5816,4.594057901245915,66.69325,74.38499999999999,82.90249999999999,65.13,86.10000000000001,71.59270833333335,4.34389283599062,64.19278676470587,71.39985294117648,79.5527463235294,62.645661764705885,82.36985294117646,10.0957,2.496215565711758,6.1145000000000005,9.975,15.566749999999997,5.390000000000001,19.189999999999998
POLICY_BASE,CAZ target 4; AVI CT 4,R1,0–30,0.625,12,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",98.03429277777778,0.6695890342930315,96.7427,98.109,99.15530000000001,96.0545,99.39816666666667,74.5816,4.594057901245913,66.69325,74.38499999999999,82.90249999999999,65.13,86.1,74.2384022222222,4.515983261831204,66.53599583333333,74.06508333333332,82.47887916666666,64.875,85.46583333333334,10.0957,2.496215565711758,6.1145000000000005,9.975,15.566749999999997,5.390000000000001,19.189999999999998
POLICY_BASE,CAZ target 4; AVI CT 4,R8,31–60,2.5,12,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",98.21419208443272,0.5416224632702684,97.10500197889182,98.27331134564645,99.05962928759895,96.38245382585751,99.2068865435356,89.24726666666666,4.062397499058499,81.26325,89.305,96.33000000000001,79.58,97.77000000000001,88.16019349164468,3.9541749894360723,80.4200092348285,88.25936675461742,95.03520118733508,78.76226912928757,96.34469656992084,10.4449,4.884148785050988,2.8075,10.085,21.443249999999992,1.35,28.38
POLICY_BASE,CAZ target 4; AVI CT 4,R8,31–60,2.5,12,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.19462401129944,0.2634613003833969,97.61102966101696,98.24595338983053,98.56454237288136,97.18614406779663,98.61572033898305,89.24726666666666,4.062397499058498,81.26325,89.305,96.32999999999998,79.57999999999998,97.77,87.87218234463278,3.974597371279621,80.04386970338983,87.93177966101696,94.8037436440678,78.41872881355931,96.05127118644066,10.4449,4.884148785050988,2.8075,10.085,21.443249999999992,1.35,28.38
POLICY_BASE,CAZ target 4; AVI CT 4,R8,31–60,2.5,12,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",96.09448235294118,0.1658617659442602,95.72645588235294,96.12996323529413,96.32654227941175,95.44375,96.34705882352941,89.24726666666666,4.062397499058499,81.26325000000001,89.305,96.33,79.58,97.77,85.91446960784313,3.8925048720385003,78.23226470588236,85.95172794117647,92.65080698529411,76.69051470588235,93.97294117647057,10.4449,4.884148785050988,2.8075,10.085,21.443249999999992,1.35,28.38
POLICY_BASE,CAZ target 4; AVI CT 4,R8,31–60,2.5,12,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.73841888888889,0.16035740720059813,99.37743333333333,99.77916666666667,99.95016250000002,99.1095,99.9735,89.24726666666666,4.062397499058501,81.26325,89.305,96.33000000000001,79.58,97.76999999999998,89.15642,4.045655326185191,81.21578333333333,89.21008333333333,96.157425,79.50683333333333,97.56066666666666,10.4449,4.884148785050988,2.8075,10.085,21.443249999999992,1.35,28.38
POLICY_BASE,CAZ target 4; AVI CT 4,R10,61–90,2.5,8,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",98.37199252418645,0.4859628480676946,97.36349999999999,98.42496042216358,99.15650263852243,96.73664907651714,99.29145118733508,88.09693333333334,4.25656878895108,80.126,88.1,95.5645,77.53,97.19000000000001,87.16224353562005,4.1560792020811475,79.2372401055409,87.23581794195252,94.57909168865437,76.84398416886543,95.9271240105541,11.625633333333333,5.475302034907948,3.0697500000000004,11.065000000000001,23.766499999999997,1.54,31.230000000000004
POLICY_BASE,CAZ target 4; AVI CT 4,R10,61–90,2.5,8,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.26290663841809,0.23195302146521873,97.74308050847458,98.3014406779661,98.60026059322036,97.35483050847459,98.64466101694917,88.09693333333333,4.256568788951081,80.126,88.10000000000001,95.5645,77.53,97.19,86.79347302259887,4.170351744827698,78.90792584745763,86.81764830508473,94.19035275423727,76.4464406779661,95.59182203389831,11.625633333333333,5.475302034907948,3.0697500000000004,11.065000000000001,23.766499999999997,1.54,31.230000000000004
