Scenario,Description,Regimen,EKFC,Dose g,Interval h,Distribution ID,Distribution,CAZ CFR %,AVI weighted %,Joint CFR %,Δ Joint CFR pp,Joint PTA MIC4 %,Δ MIC4 pp,Toxicity %,Δ Toxicity pp,Origin class,Transformation,Review state
CAZ_CL_LOW,CAZ typical clearance −20%,R1,0–30,0.625,12,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",95.36066176470588,74.22000000000001,71.61683823529413,0.17455882352940932,72.13000000000001,5.7050000000000125,12.61,3.1899999999999995,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R1,0–30,0.625,12,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",98.90133333333333,74.22,74.18516666666667,0.09583333333333144,72.13000000000001,5.7050000000000125,12.61,3.1899999999999995,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R8,31–60,2.5,12,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",98.88299472295513,89.22500000000001,88.6645382585752,0.2517150395778458,89.05999999999999,1.0749999999999886,17.305,7.6850000000000005,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R8,31–60,2.5,12,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.49764830508475,89.22500000000001,88.05014830508475,0.0952966101694841,89.05999999999999,1.0749999999999886,17.305,7.6850000000000005,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R8,31–60,2.5,12,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",96.30863970588234,89.22500000000001,86.03974264705883,0.07636029411764866,89.05999999999999,1.0749999999999886,17.305,7.6850000000000005,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R8,31–60,2.5,12,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.8995,89.22499999999998,89.22224999999999,0.017916666666678793,89.05999999999999,1.0749999999999886,17.305,7.6850000000000005,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R10,61–90,2.5,8,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",98.99758575197887,88.14,87.63310026385224,0.20394459102901408,88.08500000000001,0.5500000000000114,18.825,8.16,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R10,61–90,2.5,8,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.54502118644069,88.14000000000003,86.99921610169493,0.08218220338983429,88.08500000000001,0.5500000000000114,18.825,8.16,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R10,61–90,2.5,8,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",96.34705882352944,88.13999999999999,85.01099264705883,0.07139705882353553,88.08500000000001,0.5500000000000114,18.825,8.16,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R10,61–90,2.5,8,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.92200000000001,88.14,88.13908333333335,0.00916666666667254,88.08500000000001,0.5500000000000114,18.825,8.16,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
