Policy,Policy description,Regimen,EKFC,Distribution ID,Distribution,Draws,P(Joint CFR ≥90),P(Joint CFR ≥80),P(Toxicity ≤15),P(Joint ≥80 and Toxicity ≤15)
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R8,31–60,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0,0.18,0.8466666666666667,0.15
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R8,31–60,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0,0.17333333333333334,0.8466666666666667,0.14666666666666667
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R8,31–60,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0,0.10333333333333333,0.8466666666666667,0.08666666666666667
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R8,31–60,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,0,0.2,0.8466666666666667,0.16666666666666666
POLICY_LENIENT,CAZ target 2; AVI CT 2,R8,31–60,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.8466666666666667,0.8466666666666667
POLICY_LENIENT,CAZ target 2; AVI CT 2,R8,31–60,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.8466666666666667,0.8466666666666667
POLICY_LENIENT,CAZ target 2; AVI CT 2,R8,31–60,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,1,1,0.8466666666666667,0.8466666666666667
POLICY_LENIENT,CAZ target 2; AVI CT 2,R8,31–60,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,1,1,0.8466666666666667,0.8466666666666667
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R8,31–60,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0,0.14333333333333334,0.8466666666666667,0.12
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R8,31–60,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0,0.16,0.8466666666666667,0.13666666666666666
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R8,31–60,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0,0.09333333333333334,0.8466666666666667,0.07666666666666666
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R8,31–60,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,0,0.19333333333333333,0.8466666666666667,0.16
POLICY_BASE,CAZ target 4; AVI CT 4,R10,61–90,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0.26,0.9566666666666667,0.7466666666666667,0.71
POLICY_BASE,CAZ target 4; AVI CT 4,R10,61–90,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0.24666666666666667,0.9433333333333334,0.7466666666666667,0.7
POLICY_BASE,CAZ target 4; AVI CT 4,R10,61–90,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0.12333333333333334,0.8666666666666667,0.7466666666666667,0.6333333333333333
POLICY_BASE,CAZ target 4; AVI CT 4,R10,61–90,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,0.34,0.9766666666666667,0.7466666666666667,0.7266666666666667
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R10,61–90,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.7466666666666667,0.7466666666666667
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R10,61–90,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.7466666666666667,0.7466666666666667
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R10,61–90,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,1,1,0.7466666666666667,0.7466666666666667
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R10,61–90,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,1,1,0.7466666666666667,0.7466666666666667
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R10,61–90,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0,0.14333333333333334,0.7466666666666667,0.09666666666666666
