Total N,N per EKFC,Mean |Δ Joint PTA|,95th percentile |Δ|,Maximum |Δ|,Mean |Δ Toxicity|,Maximum |Δ Toxicity|,Interpretation
1000,200,1.99301652892562,5.7450000000000045,7.165000000000006,1.4686363636363637,4.164999999999999,EXPLORATORY
5000,1000,0.7919421487603309,2.1499999999999986,3.7849999999999966,0.4231818181818184,0.9649999999999981,EXPLORATORY
10000,2000,0.6151652892561977,2.0349999999999966,2.2349999999999994,0.41954545454545444,1.1149999999999984,EXPLORATORY
50000,10000,0.1673966942148758,0.509999999999998,0.6250000000000071,0.12318181818181805,0.45000000000000107,STABLE_FOR_SUMMARY
100000,20000,0,0,0,0,0,REFERENCE
