exposure_ceiling_mg_l,exceedance_cutoff_pct,ceiling_first_classes
80.0,5.0,5
80.0,15.0,5
80.0,30.0,5
104.0,5.0,5
104.0,15.0,5
104.0,30.0,5
150.0,5.0,5
150.0,15.0,5
150.0,30.0,1
200.0,5.0,5
200.0,15.0,1
200.0,30.0,0
300.0,5.0,1
300.0,15.0,0
300.0,30.0,0
500.0,5.0,1
500.0,15.0,0
500.0,30.0,0
