virtual_subjects,subjects_per_class,mean_abs_delta_joint_pta_pp,p95_abs_delta_pp,max_abs_delta_pp,mean_abs_delta_toxicity_pp
1000,200,2.013553719008264,5.689999999999998,7.154999999999994,1.4368181818181818
5000,1000,0.8057851239669414,2.2549999999999955,3.8299999999999983,0.42772727272727257
10000,2000,0.6185950413223124,1.9499999999999886,2.229999999999997,0.4177272727272724
50000,10000,0.16884297520661157,0.509999999999998,0.605000000000004,0.11863636363636364
100000,20000,0.0,0.0,0.0,0.0
