parameter,mean_abs_rank_correlation,max_abs_rank_correlation,rank
cl_avi_mult,0.8139131375651031,0.9357623973599706,1
omega_avi_mult,0.4992778044186851,0.6073489705441171,2
fu_avi,0.250624741861804,0.28564098330436993,3
omega_caz_mult,0.09608926815679995,0.1245253836153735,4
rho,0.0901461244156345,0.14698918876876407,5
cl_caz_mult,0.04711636817473276,0.11735774841942687,6
tox_threshold,0.04037464883748597,0.04192935477060856,7
fu_caz,0.016484827771826457,0.05867309636773741,8
