scenario,regimen,distribution_id,base_joint_cfr_pct,scenario_joint_cfr_pct,delta_joint_cfr_pp,base_toxicity_pct,scenario_toxicity_pct
CAZ_CL_HIGH,R8,INDIA2022_OXA48_KP,86.13003676470588,86.0428676470588,-0.08716911764707902,9.16,5.27
CAZ_CL_HIGH,R8,FR2024_OXA484_SERINE_ONLY,89.37675,89.32725,-0.04949999999999477,9.16,5.27
CAZ_CL_HIGH,R10,LEE2022_KPC_KP,87.69290237467017,87.39857519788919,-0.29432717678098186,10.71,6.335
CAZ_CL_HIGH,R10,LEE2022_OXA_KP,87.17175847457628,87.0701059322034,-0.10165254237287513,10.71,6.335
CAZ_CL_HIGH,R10,INDIA2022_OXA48_KP,85.18297794117646,85.11588235294116,-0.06709558823530415,10.71,6.335
CAZ_CL_HIGH,R10,FR2024_OXA484_SERINE_ONLY,88.38483333333332,88.35416666666666,-0.030666666666661513,10.71,6.335
CAZ_CL_HIGH,R12,LEE2022_KPC_KP,87.77224274406333,87.51618733509235,-0.25605540897097967,12.19,7.124999999999999
CAZ_CL_HIGH,R12,LEE2022_OXA_KP,87.21313559322033,87.12243644067794,-0.09069915254238481,12.19,7.124999999999999
CAZ_CL_HIGH,R12,INDIA2022_OXA48_KP,85.21536764705881,85.15345588235293,-0.06191176470588289,12.19,7.124999999999999
CAZ_CL_HIGH,R12,FR2024_OXA484_SERINE_ONLY,88.40883333333332,88.38524999999998,-0.023583333333334622,12.19,7.124999999999999
CAZ_CL_HIGH,R13,LEE2022_KPC_KP,80.51998680738788,80.24643799472295,-0.27354881266492725,7.21,3.925
CAZ_CL_HIGH,R13,LEE2022_OXA_KP,80.0549152542373,79.96078389830508,-0.09413135593221966,7.21,3.925
CAZ_CL_HIGH,R13,INDIA2022_OXA48_KP,78.22698529411764,78.17536764705882,-0.051617647058819216,7.21,3.925
CAZ_CL_HIGH,R13,FR2024_OXA484_SERINE_ONLY,81.18308333333333,81.15666666666667,-0.026416666666662536,7.21,3.925
AVI_CL_LOW,R1,LEE2022_KPC_KP,73.50026385224272,80.38845646437994,6.8881926121372175,9.28,9.28
AVI_CL_LOW,R1,LEE2022_OXA_KP,73.64296610169494,80.89631355932205,7.253347457627115,9.28,9.28
AVI_CL_LOW,R1,INDIA2022_OXA48_KP,72.1160661764706,79.25261029411764,7.136544117647048,9.28,9.28
