ekfc_class,daily_dose_g,licensed,mic_mg_l,caz_pta_pct,avi_attainment_pct,joint_pta_pct,exceedance_pct,median_css_caz
0–30,1.25,yes,8.0,35.93,74.92,35.93,9.28,27.589939791547167
0–30,1.875,yes,8.0,54.67999999999999,87.395,54.67999999999999,16.185,41.38490968732076
0–30,2.5,yes,8.0,68.735,93.285,68.735,23.805,55.17987958309433
0–30,3.75,yes,8.0,84.71,97.735,84.71,39.39,82.76981937464151
0–30,5.0,yes,8.0,92.19000000000001,99.15,92.19000000000001,52.945,110.35975916618867
0–30,7.5,yes,8.0,97.72,99.82,97.72,72.375,165.53963874928303
0–30,10.0,yes,8.0,99.155,99.955,99.155,83.435,220.71951833237733
0–30,12.5,no,8.0,99.665,99.985,99.665,90.01,275.8993979154717
0–30,15.0,no,8.0,99.885,99.99,99.885,93.705,331.07927749856606
0–30,17.5,no,8.0,99.92,100.0,99.92,95.99,386.2591570816604
0–30,20.0,no,8.0,99.945,100.0,99.945,97.42,441.43903666475467
0–30,22.5,no,8.0,99.97,100.0,99.97,98.34,496.61891624784903
0–30,25.0,no,8.0,99.99,100.0,99.99,98.8,551.7987958309434
0–30,27.5,no,8.0,99.995,100.0,99.995,99.15,606.9786754140378
0–30,30.0,no,8.0,100.0,100.0,100.0,99.36,662.1585549971321
31–60,1.25,yes,8.0,2.8649999999999998,23.830000000000002,2.8649999999999998,0.025,11.477762892404932
31–60,1.875,yes,8.0,10.135,44.98,10.135,0.22999999999999998,17.2166443386074
31–60,2.5,yes,8.0,21.705,61.004999999999995,21.695,0.855,22.955525784809865
31–60,3.75,yes,8.0,44.315,80.35,44.31,3.73,34.4332886772148
31–60,5.0,yes,8.0,62.165000000000006,89.395,62.144999999999996,9.16,45.91105156961973
31–60,7.5,yes,8.0,82.875,96.665,82.875,25.655,68.8665773544296
31–60,10.0,yes,8.0,91.97999999999999,98.745,91.97999999999999,42.135,91.82210313923946
31–60,12.5,no,8.0,96.13000000000001,99.49,96.13000000000001,56.05,114.77762892404932
31–60,15.0,no,8.0,97.925,99.795,97.925,67.35,137.7331547088592
31–60,17.5,no,8.0,98.88,99.89,98.88,74.91499999999999,160.68868049366904
31–60,20.0,no,8.0,99.41499999999999,99.94,99.41499999999999,81.315,183.64420627847892
31–60,22.5,no,8.0,99.675,99.985,99.675,85.93499999999999,206.59973206328877
31–60,25.0,no,8.0,99.78,99.99,99.78,89.435,229.55525784809865
31–60,27.5,no,8.0,99.89,99.995,99.89,91.86,252.5107836329085
31–60,30.0,no,8.0,99.945,99.995,99.945,93.77,275.4663094177184
61–90,1.25,yes,8.0,0.58,8.265,0.58,0.0,7.99855822635663
61–90,1.875,yes,8.0,3.335,21.765,3.3300000000000005,0.045,11.997837339534946
61–90,2.5,yes,8.0,8.43,35.445,8.425,0.075,15.99711645271326
61–90,3.75,yes,8.0,23.615,58.220000000000006,23.61,0.91,23.995674679069893
61–90,5.0,yes,8.0,40.044999999999995,73.175,40.04,2.88,31.99423290542652
61–90,7.5,yes,8.0,65.035,88.395,65.02,10.71,47.991349358139786
61–90,10.0,yes,8.0,80.035,94.705,80.025,21.945,63.98846581085304
61–90,12.5,no,8.0,88.61,97.355,88.59,34.0,79.98558226356631
61–90,15.0,no,8.0,93.22500000000001,98.6,93.205,45.050000000000004,95.98269871627957
61–90,17.5,no,8.0,95.865,99.165,95.855,54.855,111.97981516899284
61–90,20.0,no,8.0,97.39999999999999,99.56,97.39,62.955000000000005,127.97693162170609
61–90,22.5,no,8.0,98.5,99.74,98.495,69.755,143.97404807441936
61–90,25.0,no,8.0,98.935,99.82,98.92999999999999,75.24,159.97116452713263
61–90,27.5,no,8.0,99.3,99.87,99.3,79.755,175.96828097984587
61–90,30.0,no,8.0,99.575,99.91499999999999,99.575,83.49,191.96539743255914
91–120,1.25,yes,8.0,0.19499999999999998,3.17,0.19499999999999998,0.0,6.339834675014325
91–120,1.875,yes,8.0,1.24,10.71,1.24,0.0,9.509752012521487
91–120,2.5,yes,8.0,3.7249999999999996,20.51,3.7199999999999998,0.01,12.67966935002865
91–120,3.75,yes,8.0,13.345,40.98,13.334999999999999,0.295,19.019504025042973
91–120,5.0,yes,8.0,26.029999999999998,57.485,25.965,1.045,25.3593387000573
91–120,7.5,yes,8.0,50.68,78.125,50.654999999999994,5.005,38.03900805008595
91–120,10.0,yes,8.0,68.195,88.41499999999999,68.125,12.19,50.7186774001146
91–120,12.5,no,8.0,79.88,93.64,79.825,21.2,63.39834675014325
91–120,15.0,no,8.0,87.095,96.28999999999999,87.04499999999999,30.42,76.0780161001719
91–120,17.5,no,8.0,91.735,97.83,91.7,39.79,88.75768545020055
91–120,20.0,no,8.0,94.54,98.695,94.5,48.315000000000005,101.4373548002292
91–120,22.5,no,8.0,96.505,99.14,96.465,55.945,114.11702415025785
91–120,25.0,no,8.0,97.64,99.435,97.625,62.529999999999994,126.7966935002865
91–120,27.5,no,8.0,98.34,99.655,98.32499999999999,67.945,139.47636285031513
91–120,30.0,no,8.0,98.80499999999999,99.8,98.8,72.61999999999999,152.1560322003438
121–150,1.25,yes,8.0,0.055,1.4500000000000002,0.055,0.0,5.273262857987261
121–150,1.875,yes,8.0,0.545,5.8500000000000005,0.545,0.01,7.909894286980892
121–150,2.5,yes,8.0,2.03,12.395,2.025,0.025,10.546525715974521
121–150,3.75,yes,8.0,8.094999999999999,28.68,8.06,0.105,15.819788573961784
121–150,5.0,yes,8.0,17.51,44.195,17.455000000000002,0.45999999999999996,21.093051431949043
121–150,7.5,yes,8.0,39.005,67.515,38.905,2.62,31.639577147923568
121–150,10.0,yes,8.0,57.330000000000005,81.19,57.230000000000004,7.21,42.186102863898086
121–150,12.5,no,8.0,70.635,88.58,70.50999999999999,13.465,52.73262857987261
121–150,15.0,no,8.0,80.11500000000001,92.805,80.01,21.32,63.279154295847135
121–150,17.5,no,8.0,86.265,95.355,86.185,29.085,73.82568001182167
121–150,20.0,no,8.0,90.55499999999999,97.165,90.47,36.69,84.37220572779617
121–150,22.5,no,8.0,93.50500000000001,98.1,93.425,44.355,94.9187314437707
121–150,25.0,no,8.0,95.395,98.75500000000001,95.365,50.885000000000005,105.46525715974522
121–150,27.5,no,8.0,96.695,99.11999999999999,96.67,57.04,116.01178287571975
121–150,30.0,no,8.0,97.555,99.33999999999999,97.53500000000001,62.2,126.55830859169427
