rho_scenario,target_scenario,ekfc_class,parameter,evppi_pp
C3_agnostic,T6_lognormal,91–120,fu_avi,0.0
C3_agnostic,T6_lognormal,121–150,fu_avi,0.0
C3_agnostic,T7_coleman_evidence,0–30,rho,0.0
C3_agnostic,T7_coleman_evidence,31–60,rho,0.0
C3_agnostic,T7_coleman_evidence,61–90,rho,0.0
C3_agnostic,T7_coleman_evidence,91–120,rho,0.0
C3_agnostic,T7_coleman_evidence,121–150,rho,0.0
C3_agnostic,T7_coleman_evidence,0–30,target,0.0
C3_agnostic,T7_coleman_evidence,31–60,target,0.0
C3_agnostic,T7_coleman_evidence,61–90,target,0.0
C3_agnostic,T7_coleman_evidence,91–120,target,0.0
C3_agnostic,T7_coleman_evidence,121–150,target,0.0
C3_agnostic,T7_coleman_evidence,0–30,cl0_avi,0.0
C3_agnostic,T7_coleman_evidence,31–60,cl0_avi,0.0
C3_agnostic,T7_coleman_evidence,61–90,cl0_avi,0.0
C3_agnostic,T7_coleman_evidence,91–120,cl0_avi,0.0
C3_agnostic,T7_coleman_evidence,121–150,cl0_avi,0.0
C3_agnostic,T7_coleman_evidence,0–30,omega_avi,0.0
C3_agnostic,T7_coleman_evidence,31–60,omega_avi,0.0
C3_agnostic,T7_coleman_evidence,61–90,omega_avi,0.0
C3_agnostic,T7_coleman_evidence,91–120,omega_avi,0.0
C3_agnostic,T7_coleman_evidence,121–150,omega_avi,0.0
C3_agnostic,T7_coleman_evidence,0–30,cl0_caz,0.0
C3_agnostic,T7_coleman_evidence,31–60,cl0_caz,0.251
C3_agnostic,T7_coleman_evidence,61–90,cl0_caz,0.001
C3_agnostic,T7_coleman_evidence,91–120,cl0_caz,0.0
C3_agnostic,T7_coleman_evidence,121–150,cl0_caz,0.0
C3_agnostic,T7_coleman_evidence,0–30,fu_avi,0.0
C3_agnostic,T7_coleman_evidence,31–60,fu_avi,0.0
C3_agnostic,T7_coleman_evidence,61–90,fu_avi,0.0
C3_agnostic,T7_coleman_evidence,91–120,fu_avi,0.0
C3_agnostic,T7_coleman_evidence,121–150,fu_avi,0.0
