arm,n_cazavi,dose_g_daily_median_range,eGFR_mL_min_1_73m2_median_range,caz_fCss_mg_L_median_range,avi_fCss_mg_L_median_range,joint_target_attained,attained_pct,failures_attributed_to,notes
targeted,10,7 (3.75-10),98.5 (29-107),21.0 (16.6-21.4),6.4 (4.4-10.3),8/10,80.0,avibactam,"text states avibactam n=3 but table implies 2 failures; recorded as printed, unresolved"
empirical,7,7.5 (6-7.5),102 (70-121),16.2 (9.1-29.8),3.3 (2.0-5.6),1/7,14.3,avibactam (6/7),"empirical target uses EUCAST clinical breakpoint as denominator, not measured MIC"
